url,title
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-14.html,第4部：粉饰太平 第十四章 强敌
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-13.html,第4部：粉饰太平 第十三章 天下第一幕僚
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-12.html,第4部：粉饰太平 第十二章 东南的奇才
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-11.html,第4部：粉饰太平 第十一章 勇气
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-10.html,第4部：粉饰太平 第十章 隐藏的精英
http://static.tieba.baidu.com/tb/error.html?tc=02156827590976641034062714,
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-09.html,第4部：粉饰太平 第九章 致命的疏漏
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-08.html,第4部：粉饰太平 第八章 天下，三人而已
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-07.html,第4部：粉饰太平 第七章 徐阶的觉醒
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-06.html,第4部：粉饰太平 第六章 最阴险的敌人
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-05.html,第4部：粉饰太平 第五章 锋芒
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-04.html,第4部：粉饰太平 第四章 龙争虎斗
http://static.tieba.baidu.com/tb/error.html?tc=02418760140825777162062714,
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-03.html,第4部：粉饰太平 第三章 解脱
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-02.html,第4部：粉饰太平 第二章 大臣很强悍
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-01.html,第4部：粉饰太平 第一章 皇帝很脆弱
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-20.html,第3部：妖孽宫廷 第二十章 新的开始
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-19.html,第3部：妖孽宫廷 第十九章 终结的归宿
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-18.html,第3部：妖孽宫廷 第十八章 沉默的较量
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-17.html,第3部：妖孽宫廷 第十七章 死亡的阴谋
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-16.html,第3部：妖孽宫廷 第十六章 奋战
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-15.html,第3部：妖孽宫廷 第十五章 孤军
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-14.html,第3部：妖孽宫廷 第十四章 东山再起
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-13.html,第3部：妖孽宫廷 第十三章 无人知晓的胜利
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-12.html,第3部：妖孽宫廷 第十二章 皇帝的幸福生活
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-11.html,第3部：妖孽宫廷 第十一章 必杀刘瑾
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-10.html,第3部：妖孽宫廷 第十章 机会终于到来
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-09.html,第3部：妖孽宫廷 第九章 悟道
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-08.html,第3部：妖孽宫廷 第八章 传奇就此开始
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-07.html,第3部：妖孽宫廷 第七章 斗争，还是隐忍？
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-06.html,第3部：妖孽宫廷 第六章 明君
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-05.html,第3部：妖孽宫廷 第五章 武林大会
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-04.html,第3部：妖孽宫廷 第四章 不伦之恋
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-03.html,第3部：妖孽宫廷 第三章 公道
http://www.mingchaonaxieshier.com/yao-nie-gong-ting-02.html,第3部：妖孽宫廷 第二章 隐藏的敌人
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-08.html,第2部：万国来朝 第八章 帝王的财产
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-07.html,第2部：万国来朝 第七章 逆命者必剪除之！
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-06.html,第2部：万国来朝 第六章 天子守国门！
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-05.html,第2部：万国来朝 第五章 纵横天下
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-04.html,第2部：万国来朝 第四章 郑和之后，再无郑和
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-03.html,第2部：万国来朝 第三章 帝王的抉择
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-02.html,第2部：万国来朝 第二章 帝王的荣耀
http://www.mingchaonaxieshier.com/wan-guo-lai-chao-01.html,第2部：万国来朝 第一章 帝王的烦恼
http://www.mingchaonaxieshier.com/hong-wu-da-di-31.html,第1部：洪武大帝 第三十一章 殉国、疑团、残暴、软弱
http://www.mingchaonaxieshier.com/hong-wu-da-di-30.html,第1部：洪武大帝 第三十章 离胜利只差一步
http://www.mingchaonaxieshier.com/hong-wu-da-di-29.html,第1部：洪武大帝 第二十九章 朱棣的对手
http://www.mingchaonaxieshier.com/hong-wu-da-di-28.html,第1部：洪武大帝 第二十八章 你死我活的战争
http://www.mingchaonaxieshier.com/hong-wu-da-di-27.html,第1部：洪武大帝 第二十七章 不得不反了！
http://www.mingchaonaxieshier.com/hong-wu-da-di-26.html,第1部：洪武大帝 第二十六章 准备行动
http://www.mingchaonaxieshier.com/hong-wu-da-di-25.html,第1部：洪武大帝 第二十五章 等待中的朱棣
http://www.mingchaonaxieshier.com/hong-wu-da-di-24.html,第1部：洪武大帝 第二十四章 建文帝
http://www.mingchaonaxieshier.com/hong-wu-da-di-23.html,第1部：洪武大帝 第二十三章 终点，起点
http://www.mingchaonaxieshier.com/hong-wu-da-di-22.html,第1部：洪武大帝 第二十二章 制度后的秘密
http://www.mingchaonaxieshier.com/hong-wu-da-di-21.html,第1部：洪武大帝 第二十一章 蓝玉的覆灭
http://www.mingchaonaxieshier.com/hong-wu-da-di-20.html,第1部：洪武大帝 第二十章 最后的名将——蓝玉
http://www.mingchaonaxieshier.com/hong-wu-da-di-19.html,第1部：洪武大帝 第十九章 冤案
http://www.mingchaonaxieshier.com/hong-wu-da-di-18.html,第1部：洪武大帝 第十八章 扫除一切腐败者
http://www.mingchaonaxieshier.com/hong-wu-da-di-17.html,第1部：洪武大帝 第十七章 胡惟庸案件
http://www.mingchaonaxieshier.com/hong-wu-da-di-16.html,第1部：洪武大帝 第十六章 建国
http://www.mingchaonaxieshier.com/hong-wu-da-di-15.html,第1部：洪武大帝 第十五章 远征沙漠
http://www.mingchaonaxieshier.com/hong-wu-da-di-14.html,第1部：洪武大帝 第十四章 复仇
http://www.mingchaonaxieshier.com/hong-wu-da-di-12.html,第1部：洪武大帝 第十二章 鄱阳湖！决死战！
http://www.mingchaonaxieshier.com/hong-wu-da-di-11.html,第1部：洪武大帝 第十一章 洪都的奇迹
http://www.mingchaonaxieshier.com/hong-wu-da-di-10.html,第1部：洪武大帝 第十章 等待最好的时机
http://www.mingchaonaxieshier.com/hong-wu-da-di-09.html,第1部：洪武大帝 第九章 决战不可避免
http://www.mingchaonaxieshier.com/hong-wu-da-di-08.html,第1部：洪武大帝 第八章 可怕的陈友谅
http://www.mingchaonaxieshier.com/hong-wu-da-di-07.html,第1部：洪武大帝 第七章 可怕的对手
http://www.mingchaonaxieshier.com/hong-wu-da-di-06.html,第1部：洪武大帝 第六章 霸业的开始
http://www.mingchaonaxieshier.com/hong-wu-da-di-05.html,第1部：洪武大帝 第五章 储蓄资本
http://www.mingchaonaxieshier.com/hong-wu-da-di-04.html,第1部：洪武大帝 第四章 就从这里起步
http://www.mingchaonaxieshier.com/hong-wu-da-di-03.html,第一部：洪武大帝 第三章 踏上征途
http://www.mingchaonaxieshier.com/hong-wu-da-di-02.html,第1部：洪武大帝 第二章 灾难
http://www.mingchaonaxieshier.com/hong-wu-da-di-01.html,第1部：洪武大帝 第一章 童年
http://www.mingchaonaxieshier.com/hong-wu-da-di-yinzi.html,第1部：洪武大帝 引子
http://static.tieba.baidu.com/tb/error.html?tc=05365599800993418250062714,
